t1,t13,t5,t9,t17,t8,t12,t19,t3,t11,t16,t10,t15,t4,t2,t18,t7,t14,t6
t1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0
t13,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1
t5,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
t9,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1
t17,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0
t8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
t12,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
t19,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
t3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
t11,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1
t16,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1
t10,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1
t15,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
t4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
t2,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0
t18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
t7,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1
t14,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1
t6,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0
