t15,t16,t4,t17,t1,t10,t18,t3,t5,t7,t2,t9,t13,t11,t19,t6,t8,t12,t14
t15,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
t16,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
t4,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
t17,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
t1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
t10,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
t18,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0
t3,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
t5,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1
t7,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1
t2,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1
t9,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1
t13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
t11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
t19,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
t6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t12,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
t14,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
